1,FCBarcelona,ES,Barcelona,1,7
2,RealMadrid,ES,Madrid,1,17
3,Atlético,ES,Madrid,1,45
4,SevillaFC,ES,Sevilla,1,55
5,Betis,ES,Sevilla,1,37
6,MalagaFC,ES,Malaga,3,16
7,Celta,ES,Vigo,4,16
8,Valencia,ES,Valencia,4,52
9,Cadiz,ES,Cadiz,5,47
10,Athletic,ES,Bilbao,5,33
11,City,EN,Manchester,6,35
12,United,EN,Manchester,6,7
13,Chelsea,EN,Londres,7,42
14,Tottenham,EN,Londres,7,22
15,Arsenal,EN,Londres,8,47
16,Everton,EN,Everton,8,52
17,Leeds,EN,Leeds,8,19
18,Leicester,EN,Leicester,9,55
19,Liverpool,EN,Liverpool,9,34
20,AstonVilla,EN,Aston,9,3
21,PsG,FR,Paris,10,55
22,Marsella,FR,Marsella,10,37
23,Rennes,FR,Rennes,10,5
24,Lens,FR,Lens,10,15
25,Monaco,FR,Monaco,10,16
26,LOSX,FR,Lille,13,28
27,Lyon,FR,Lyon,60,15
28,Nantes,FR,Nantes,35,8
29,Reims,FR,Reims,92,28
30,RacingEtrasburgo,FR,Estrasburgo,74,51
31,Napoli,IT,Napoles,58,33
32,Inter,IT,Milan,9,98
33,Lazio,IT,Lazio,8,26
34,Juventus,IT,Turin,87,4
35,Bolonia,IT,Bolonia,90,49
36,Fiorentina,IT,Florencia,44,15
37,Monza,IT,Monza,3,4
38,Atalanta,IT,Atalante,68,43
39,Hellas,IT,Verona,70,3
40,Sampodria,IT,Sampodria,81,27
41,Colonia,DE,Novomysha,3,37
42,Friburgo,DE,Indianapolis,56,3
43,Bayern,DE,Ploemeur,45,50
44,Bochum,DE,St.Anton,15,44
45,Donica,DE,Xudat,59,6
46,Frankfurt,DE,Limulan,48,50
47,Borusia,DE,Setaka,7,9
48,Stuttgart,DE,Dadeldhurā,82,26
49,Friburgo,DE,Tadianjie,28,5
50,Hertha,DE,Nanuque,72,25
51,AYAX,NL,Damawato,32,12
52,AZ,NL,Ciranca Satu,40,6
53,JoelynnFC,NL,Luleå,29,1
54,EuphemiaFC,NL,El Corpus,58,18
55,HunfredoFC,NL,Pittsburgh,22,8
56,KurtisFC,NL,Shanhaiguan,54,28
57,MerwynFC,NL,Shuangshan,86,44
58,AlleyFC,NL,Jām Sāhib,28,9
59,MargaretteFC,NL,Jiangnan,83,7
60,LucineFC,NL,Laḩij,76,21
61,BobbeeFC,AR,Panghadangan,68,42
62,EstrellitaFC,AR,Verona,43,46
63,LissaFC,AR,Ngrambitan,79,13
64,GreerFC,AR,Nezvěstice,73,50
65,MaxyFC,AR,Baoshui,59,10
66,ConneyFC,AR,Al Jarrāḩī,56,26
67,SamanthaFC,AR,Xicun,94,7
68,LucinaFC,AR,Cergy-Pontoise,28,7
69,MariusFC,AR,Uluale,24,6
70,VaclavFC,AR,Zagazig,11,7
71,ChelsieFC,BR,Trbovlje,53,21
72,CyrillFC,BR,Acacías,19,6
73,ErinnaFC,BR,Sölvesborg,49,39
74,YancyFC,BR,Hwacheon,95,5
75,KassiaFC,BR,Arvayheer,25,52
76,RicardoFC,BR,Santa Fe,49,2
77,ChanceyFC,BR,Abū Sunbul,93,39
78,SalvatoreFC,BR,Strawczyn,87,56
79,CaroljeanFC,BR,Wangunsari,70,50
80,TomeFC,BR,Old City,85,3
81,ShayneFC,US,Jeżów Sudecki,24,20
82,ShannanFC,US,Bassano,42,17
83,DorelleFC,US,Pak Phayun,95,7
84,AnnetteFC,US,Licheń Stary,47,7
85,DominiFC,US,Qingqu,16,54
86,MickeyFC,US,Wasinton,47,7
87,KerrieFC,US,Dobruševo,22,19
88,MaeFC,US,Sabana,48,37
89,KlaraFC,US,Rassvet,1,41
90,LesterFC,US,Rancaranji,54,46
91,BreisterFC,POR,Matungao,58,4
92,KataFC,POR,Shuitianhe,67,44
93,TerrenceFC,POR,Dyurtyuli,16,76
94,BerniceFC,POR,TaphanHin,79,11
95,PortoFC,POR,Jangdam,34,8
96,MigaraeFC,POR,Novotroitsk,15,29
97,JessamynFC,POR,Zarqa,41,65
98,TuckyFC,POR,Aizkraukle,36,9
99,TorieFC,POR,Atyrá,4,8
100,BragaFC,POR,Ninove,95,5

